2024-09-30 01:13:40 - 0.1, 0.5222222222222223, 0.7333333333333333, 37.22222222222222, 36.5, 3.2015621187164243, [41, 39, 38, 38, 30, 39, 38, 38, 39, 36, 30, 39, 36, 41, 37, 33, 37, 36, 33, 32]
2024-09-30 01:14:14 - 0.1, 0.5222222222222223, 0.9444444444444444, 34.473684210526315, 35.05, 4.652687395473717, [28, 46, 38, 35, 32, 35, 35, 34, 33, 42, 34, 34, 33, 29, 31, 28, 39, 37, 35, 43]
2024-09-30 01:14:47 - 0.1, 0.5222222222222223, 1.1555555555555557, 37.111111111111114, 37.15, 5.893004327166238, [45, 34, 36, 25, 42, 33, 31, 36, 33, 38, 31, 41, 50, 38, 35, 44, 38, 33, 46, 34]
2024-09-30 01:15:21 - 0.1, 0.5222222222222223, 1.3666666666666667, 34.63157894736842, 35.25, 5.393282859261138, [38, 35, 41, 32, 35, 43, 36, 26, 34, 41, 30, 28, 47, 30, 42, 30, 37, 35, 35, 30]
2024-09-30 01:15:54 - 0.1, 0.5222222222222223, 1.577777777777778, 36.1578947368421, 35.65, 4.430293444005713, [37, 30, 35, 37, 28, 42, 39, 36, 40, 26, 38, 32, 33, 34, 41, 32, 34, 37, 40, 42]
2024-09-30 01:16:28 - 0.1, 0.5222222222222223, 1.788888888888889, 33.36842105263158, 34.1, 5.80430874437258, [30, 35, 27, 36, 43, 26, 30, 40, 25, 37, 42, 37, 31, 32, 35, 34, 31, 48, 34, 29]
2024-09-30 01:17:01 - 0.1, 0.5222222222222223, 2.0, 38.55555555555556, 38.55, 5.219913792391595, [49, 30, 45, 38, 38, 38, 40, 40, 35, 28, 42, 33, 46, 34, 46, 37, 38, 41, 36, 37]
2024-09-30 01:17:33 - 0.1, 0.7333333333333333, 0.1, 27.57894736842105, 27.9, 2.4269322199023193, [27, 26, 26, 24, 28, 26, 29, 30, 29, 27, 30, 31, 34, 31, 25, 29, 28, 27, 26, 25]
2024-09-30 01:18:07 - 0.1, 0.7333333333333333, 0.3111111111111111, 33.05, 33.05, 3.2630507198019463, [35, 30, 39, 39, 31, 34, 29, 31, 29, 31, 34, 34, 30, 30, 35, 35, 28, 38, 34, 35]
2024-09-30 01:18:40 - 0.1, 0.7333333333333333, 0.5222222222222223, 34.26315789473684, 33.7, 4.93051721424842, [33, 34, 33, 36, 42, 23, 31, 27, 34, 34, 39, 31, 43, 37, 36, 31, 27, 30, 40, 33]
2024-09-30 01:19:13 - 0.1, 0.7333333333333333, 0.7333333333333333, 34.78947368421053, 34.35, 3.837642505497353, [36, 37, 39, 37, 34, 39, 30, 39, 26, 29, 35, 27, 32, 35, 32, 38, 37, 35, 37, 33]
2024-09-30 01:19:48 - 0.1, 0.7333333333333333, 0.9444444444444444, 34.2, 34.2, 5.182663407939976, [31, 41, 30, 36, 27, 30, 40, 31, 28, 31, 44, 36, 33, 28, 37, 40, 41, 40, 31, 29]
2024-09-30 01:20:22 - 0.1, 0.7333333333333333, 1.1555555555555557, 34.526315789473685, 35.25, 5.43023940540378, [40, 42, 31, 28, 34, 38, 31, 28, 26, 40, 34, 31, 35, 49, 39, 39, 37, 33, 38, 32]
2024-09-30 01:20:56 - 0.1, 0.7333333333333333, 1.3666666666666667, 37.0, 36.35, 5.952100469582145, [35, 34, 39, 41, 25, 37, 32, 37, 44, 37, 24, 26, 39, 41, 34, 40, 33, 42, 41, 46]
2024-09-30 01:21:30 - 0.1, 0.7333333333333333, 1.577777777777778, 36.526315789473685, 37.3, 5.080354318352215, [31, 43, 36, 36, 41, 34, 34, 33, 52, 42, 39, 40, 37, 33, 31, 36, 44, 35, 37, 32]
2024-09-30 01:22:03 - 0.1, 0.7333333333333333, 1.788888888888889, 40.1578947368421, 40.75, 5.620275793944635, [38, 47, 38, 52, 47, 39, 37, 47, 36, 31, 48, 41, 41, 41, 44, 42, 33, 44, 38, 31]
2024-09-30 01:22:37 - 0.1, 0.7333333333333333, 2.0, 36.4, 36.4, 4.2708313008125245, [42, 30, 38, 41, 42, 41, 42, 38, 36, 38, 36, 31, 33, 38, 38, 32, 30, 38, 36, 28]
2024-09-30 01:23:09 - 0.1, 0.9444444444444444, 0.1, 29.3, 29.3, 4.172529209005013, [24, 31, 32, 31, 37, 30, 27, 23, 28, 33, 25, 33, 32, 36, 34, 23, 26, 25, 30, 26]
2024-09-30 01:23:42 - 0.1, 0.9444444444444444, 0.3111111111111111, 32.473684210526315, 33.1, 4.380639222761902, [36, 29, 29, 29, 27, 39, 29, 30, 31, 34, 32, 29, 36, 35, 36, 29, 34, 45, 37, 36]
2024-09-30 01:24:15 - 0.1, 0.9444444444444444, 0.5222222222222223, 32.05263157894737, 32.6, 4.7791212581394085, [32, 34, 31, 36, 36, 36, 35, 28, 38, 32, 27, 34, 43, 38, 35, 28, 33, 24, 25, 27]
2024-09-30 01:24:49 - 0.1, 0.9444444444444444, 0.7333333333333333, 33.31578947368421, 33.75, 3.3147398087934445, [36, 34, 37, 35, 34, 39, 34, 29, 36, 29, 30, 34, 33, 32, 35, 33, 34, 42, 29, 30]
2024-09-30 01:25:22 - 0.1, 0.9444444444444444, 0.9444444444444444, 34.10526315789474, 34.7, 4.6808118953873805, [32, 33, 30, 41, 39, 32, 35, 46, 36, 33, 34, 38, 30, 30, 39, 27, 28, 34, 38, 39]
2024-09-30 01:25:56 - 0.1, 0.9444444444444444, 1.1555555555555557, 34.833333333333336, 36.25, 5.557652382076446, [37, 30, 49, 38, 34, 31, 28, 36, 49, 34, 38, 34, 33, 41, 39, 31, 37, 29, 40, 37]
2024-09-30 01:26:30 - 0.1, 0.9444444444444444, 1.3666666666666667, 37.611111111111114, 36.35, 5.406246387282031, [31, 36, 28, 37, 38, 39, 41, 38, 25, 45, 45, 25, 39, 35, 39, 39, 39, 34, 39, 35]
2024-09-30 01:27:03 - 0.1, 0.9444444444444444, 1.577777777777778, 36.05263157894737, 36.85, 7.009101226262893, [41, 50, 41, 31, 33, 37, 35, 28, 39, 31, 36, 43, 30, 52, 41, 35, 37, 25, 28, 44]
2024-09-30 01:27:37 - 0.1, 0.9444444444444444, 1.788888888888889, 35.75, 35.75, 5.271385017241673, [30, 41, 34, 30, 40, 38, 42, 39, 39, 30, 27, 35, 35, 26, 42, 40, 41, 35, 42, 29]
2024-09-30 01:28:10 - 0.1, 0.9444444444444444, 2.0, 34.8421052631579, 35.35, 4.1506023659223255, [33, 45, 32, 33, 33, 33, 38, 38, 31, 39, 41, 31, 40, 34, 37, 29, 32, 40, 31, 37]
2024-09-30 01:28:42 - 0.1, 1.1555555555555557, 0.1, 32.578947368421055, 32.05, 4.398579316097415, [39, 35, 34, 32, 34, 28, 35, 39, 37, 32, 28, 34, 22, 29, 32, 28, 37, 32, 26, 28]
